time,susceptible,exposed,infected,recovered,asymptomatic,new_exposed,new_infected,new_recovered,new_asymptomatic,deaths
67,0.9828925333333333,0.004974344666666667,0.001539216,0.008218948666666667,0.002328779333333333,0.000690621,0.00021737200000000005,0.0004092543333333334,0.00032605966666666655,4.6253000000000006e-05
68,0.9821799333333334,0.005125831333333335,0.0015926846666666666,0.008643289666666668,0.0024097149999999998,0.0007126249999999999,0.0002244573333333333,0.00042433866666666666,0.0003366843333333333,4.855866666666669e-05
69,0.9814449333333334,0.005283518666666667,0.0016465103333333328,0.009082841000000001,0.002491184000000001,0.0007350236666666671,0.00023093733333333336,0.0004395576666666667,0.00034640566666666663,5.094633333333333e-05
70,0.9806875666666668,0.005445678999999999,0.0017013833333333328,0.009537676999999998,0.002574247666666667,0.0007575026666666666,0.00023813699999999997,0.00045483366666666667,0.0003572043333333334,5.3413333333333326e-05
71,0.9799100666666667,0.005609373666666668,0.001757409,0.010008156666666665,0.0026590543333333333,0.0007776683333333334,0.0002455883333333333,0.000470479,0.0003683816666666667,5.596199999999999e-05
72,0.9791093333333336,0.005776804,0.0018147380000000002,0.010494696333333333,0.0027458373333333337,0.0008008226666666666,0.000253359,0.00048654000000000004,0.0003800386666666667,5.859666666666667e-05
73,0.9782869000000003,0.0059468866666666665,0.001873032,0.010997785333333333,0.0028340683333333335,0.0008225303333333333,0.0002609786666666667,0.0005030900000000001,0.000391468,6.1314e-05
74,0.9774448333333337,0.006116283333333333,0.0019326393333333328,0.011517771666666666,0.0029242833333333333,0.0008421366666666666,0.00026909633333333335,0.000519986,0.0004036443333333333,6.411933333333335e-05
75,0.9765844666666669,0.006283426999999999,0.0019935320000000006,0.012055072000000002,0.0030164519999999998,0.0008605160000000002,0.00027735033333333326,0.0005372950000000001,0.00041602599999999995,6.701566666666665e-05
76,0.9756994333333336,0.006454326999999999,0.0020556603333333335,0.012610094999999997,0.003110488666666666,0.0008851899999999999,0.0002857143333333332,0.0005550143333333334,0.00042857333333333334,7.0005e-05
77,0.9747892333333333,0.0066307020000000005,0.002118355666666667,0.013183190999999999,0.003205378,0.0009103006666666668,0.00029357000000000005,0.0005731173333333333,0.000440355,7.308633333333335e-05
78,0.9738538333333334,0.006812379000000001,0.0021816873333333343,0.013774604333333332,0.0033012583333333345,0.0009355933333333332,0.0003015703333333334,0.0005913973333333334,0.00045235433333333335,7.6263e-05
79,0.9728927666666667,0.006999159666666667,0.002245939333333333,0.01438399866666667,0.0033985096666666673,0.0009611113333333332,0.0003097296666666667,0.0006094023333333334,0.00046459366666666655,7.9532e-05
80,0.9719091333333334,0.007188093333333334,0.002310936333333333,0.015012068333333333,0.003496909333333332,0.0009838946666666664,0.00031798499999999996,0.0006280579999999998,0.00047697700000000006,8.289866666666666e-05
81,0.9708994666666667,0.007381541333333335,0.0023771459999999997,0.015658266,0.0035971470000000006,0.001009738,0.00032651466666666667,0.0006462213333333334,0.0004897730000000001,8.636299999999997e-05
82,0.9698636,0.007577988333333335,0.002444965666666667,0.01632362166666667,0.0036998186666666664,0.0010359983333333334,0.00033582100000000014,0.0006653413333333333,0.0005037313333333332,8.992633333333331e-05
83,0.9688033666666667,0.007775390333333332,0.002514266666666667,0.01700863766666667,0.003804733666666666,0.0010604599999999998,0.00034522366666666667,0.0006850106666666665,0.0005178356666666667,9.359300000000001e-05
